tweet_id	tweet	label
13729	A growing number of Covid-19 patients whose symptoms were initially mild are now facing mysterious long-term neurological problems https://t.co/If2SgRduuw	Lit-News_mentions
12399	Medical experts advise that symptoms of the novel coronavirus include fever, shortness of breath, and stinky smelly pits and feet 😳🤪	Lit-News_mentions
20056	@drdavidsamadi Hubby/I:same symptoms n November 2019 after a weekend trip 2 Vegas where bus loads of Chinese tourists.1 day fever,3 days sore throat,several weeks of fatigue.He's healthy,I'm not: diabetes,hypertension,obese, respiratory issues @ 53. No meds/pneumonia,we believe was COVID-19	Nonpersonal_reports
10175	1/x In the April 11 BC briefing Dr. Bonnie Henry had mentioned that there's now reports of neurologic complications after COVID-19 infection, even during recovery. There's now anecdotal reporting of neurological manifestations from  WUHAN patients in JAMA:https://t.co/7spTyk7l2M	Lit-News_mentions
12179	Major study PHOSP-COVID investigates health impacts of #COVID19 on hospitalised patients including #mentalhealth &amp; neurological problems. Find out more https://t.co/JLTrz0BA7f @OxfordHealthNHS https://t.co/jZ2kPyPqmS	Lit-News_mentions
30823	I’ve had 4 waves of symptoms over 7 weeks. No previous underlying health conditions. Now have tachycardia & chest pains & been rushed to A& E twice. It’s not the flu, it’s not just a cough, it’s not over in 14 days.	Self_reports
21249	Wow. Sitting here in these early hours, waiting for an ambulance to come and get my sister. She's asthmatic, and has been struggling to breathe a lot today with a cough. I hope she will be okay because this COVID-19 thing is no joke. 😳 #COVID19UK #feelinghelpless	Nonpersonal_reports
10441	@FranceAuVietnam Boost the lungsNot yet medicine cure viruses, asthma, COPD, Chonic bronchitis, difficult breathing, but the health of the patients makes great difference. Most death cases had other diseases#coronavirus #Covid19 #asthma  #COPD #bronchitis #pneumonitis https://t.co/9MBWoNEUxG https://t.co/c90FrqUKE3	Lit-News_mentions
21651	Today my daughter came over for an online visit with my grandsons. I was not allowed to be a part of the visit. My heart aches. I know it has only been a couple weeks, but feels so much longer. With COVID19 I am isolating (asthma) &amp; seeing them is harder. I wish this was over.😥	Nonpersonal_reports
10838	About one-third of all patients suffering from COVID-19 suffer from a recent loss of taste or smell which is kinda huge. And this is one of the specific symptoms of COVID-19 which is sort of uncommon and could be a very significant identifying symptom for self-diagnosing maybe.	Lit-News_mentions
10986	An @OxfordUnivrsity study found 20% of those infected with the #coronavirus are diagnosed with a psychiatric disorder w/in 90 days. #Anxiety, #depression and #insomnia were most common among recovered #COVID-19 patients who developed #MentalHealth issues.  https://t.co/2pvTBoeITu	Lit-News_mentions
23334	@tharealNicholas @grantstern Ahh, OK. 🙈 My mom was told she had “SARS” last month - no test - sent home. High fever, tons of coughing and trouble breathing. I said MOM THAT IS CORONAVIRUS! She still has a cough weeks later. She is OK now.	Nonpersonal_reports
11430	NBCNews: Neurological symptoms are extremely common among Covid-19 patients sick enough to be hospitalized, study finds; and patients may continue to experience these symptoms long after they recover from the virus. https://t.co/WytC3zcHPB	Lit-News_mentions
31218	Hubby had breathing issues and chest burning until March, I had awful gastric issues and then from late Feb /Early March until, well, about a week ago I had all the long tail crap going on which is just now this last week or so going.	Self_reports
14127	The long-term effects of COVID-19, even on people who suffered a mild infection and all age groups:psychosisinsomniakidney diseasespinal infectionsstrokeschronic tirednessmobility issues⚠️The doctors: Some victims may never recover from the illnesshttps://t.co/f3jrcAMTC7	Lit-News_mentions
22323	@nicholasibekwe I was just telling my wife about this yesterday morning. I see so many references of people saying they lost their taste and smell senses. Some also say neck and chest pain are some of the symptoms. I think covid-19 is probably in the mix.	Nonpersonal_reports
22128	@RonSarkar My sister had symptoms and low grade fever.  She was checked and no COVID19. Still she self quarantined bc mild cases don't always show and flu season is mostly over.	Nonpersonal_reports
30070	I am not scared of the symptoms I have right now...I am scared of a heart attack, I am scared of diabetes, stroke, lupus, permanent lung/heart damage...and yea death due to my symptoms I have right now.	Self_reports
13703	8 in 10 COVID-19 patients suffer neurological symptoms, study finds https://t.co/OTgZTXJfNF	Lit-News_mentions
21705	@Rosebudame9 I feel my brother who works in NYC also has coronavirus ( difficultly breathing, sore throat, bodyache, cough, he had mild fever for 2 days but no fever now). Where can he get the test done?	Nonpersonal_reports
23495	"""""""Thread by @SherriSantosMSN: Covid-19 isn't just """"""""you get better"""""""" or """"""""you die"""""""". My sister is in week 8. Four weeks of high fever, extreme bodyushing fatigue. Week 5 the fevers went away but she developed shortness of breath. Week 6 CT scan showed multiple… https://t.co/sZPukJLO8m"""""""	Nonpersonal_reports
30201	Waiting on our test kits to arrive but looks like myself &amp; my partner have #covid19. We're ok and managing things at home.If this is Corona as bugs go it's not pleasant.I ache, everything smells dreadful, I feel exhausted, coughing but not 'continuously'. Felt like a migraine 1/2	Self_reports
11432	“Patients who have tested positive for coronavirus have reported flu-like symptoms including fever, a dry cough, and difficulty breathing, with some developing pneumonia. In more severe instances, patients have suffered organ failure.” https://t.co/jKcfL8K3Ti	Lit-News_mentions
12978	Why Many #COVID19 Patients May Be Experiencing Chronic Fatigue https://t.co/oTTWT2DLBD #chronicfatigue #CFS	Lit-News_mentions
11271	We know too little about Covid-19 'long-haulers.' We need a comprehensive studyCovid patients are reporting persistent, long-term symptoms of chronic fatigue. Let’s get to the bottom of thishttps://t.co/o4aMYn0mw0	Lit-News_mentions
14155	"""""""94% (of those 31 who came back for checkup) still have lung problems after 1-2 months:""""""""What worries me is that 4-8 weeks after discharge, only 2 of 31 patients have normal lungs again. Many still complain of shortness of breath, or pain when breathing.""""""""https://t.co/WcXECQ3pet"""""""	Lit-News_mentions
13732	“The coronavirus targets the lungs foremost, but also the kidneys, liver and blood vessels. Still, about half of patients report neurological symptoms, including headaches, confusion and delirium, suggesting the virus may also attack the brain.”https://t.co/PIUw2XcLC7	Lit-News_mentions
23050	“My wife didn’t have coronavirus symptoms, she was ill and throwing up.” .... nausea and vomiting are symptoms of coronavirus, you fucking plant pot.	Nonpersonal_reports
22765	This ❗️❗️ my mom had chest pain Bc of so much that she goes through and her doctor had the audacity to ask her why she doesn’t love herself Bc she my mom still went to work that day 😤	Nonpersonal_reports
13737	‘Silent wave’: Study puts a spotlight on the potential long-term neurological consequences of Covid-19 https://t.co/kqxpXmTd7w	Lit-News_mentions
13601	COVID-19 symptoms can be mistaken for a common cold or flu. But other symptoms may require a closer look. If you think you have been exposed to COVID-19 and develop a fever and symptoms, such as cough or difficulty breathing, get medical attention immediately. https://t.co/9Rqe2O8qYL	Lit-News_mentions
20523	@jennyeclair My daughter is one of the students in halls at Northumbria Uni. She’s come out of isolation today. She only suffered loss of taste and smell fortunately. #COVID19	Nonpersonal_reports
20925	@realDonaldTrump I am an Ohio mom in the Suburbs. I have my BA from OSU. My daughter will have her BSN from Kent State in May. You could share articles like this everyday until Nov., but WE will walk on glass, through fires, &amp; lines of Covid-19 positive people coughing on us to vote #Biden2020.	Nonpersonal_reports
21613	My son tested positive for #COVID19 . He’s 23 year old and a type 1 diabetic. He lost his sense of taste and has a cough but is doing better. I HATE THIS!!!!!	Nonpersonal_reports
11816	CNBC looks into scientists reporting neurological damage in COVID-19 patients. More @ https://t.co/T4t9nEV8p7	Lit-News_mentions
23264	@CnnTown I believe my son had Covid-19 in January. He had high temps, tired,  dry cough, loss of smell and taste and restlessness. Periodically he loses his smell and taste even now, and gets very tired.  He didn’t get tested because in our area there was no test. Is that normal?	Nonpersonal_reports
21246	@JohnCornyn @SenTedCruz @RogerWilliamsTX My son has had fever/cough for 4 days, but because we don’t know anyone from China or Italy, we’re being told to just stay home: there’s no way he’ll ever get tested for #COVID19.  Too few tests.  What can you do to change that?	Nonpersonal_reports
14469	Loss of smell and taste validated as COVID-19 symptoms in patients with high recovery rate: Study suggests clinicians should include sensory impairment as standard screening measure https://t.co/UrPuLskDYs	Lit-News_mentions
13500	He urged physicians, GPs and healthcare workers with patients with cognitive symptoms, memory problems, fatigue, numbness, or weakness, to discuss the case with neurologists.Warning of serious brain disorders in people with mild coronavirus symptoms https://t.co/lkLdLFzGO6	Lit-News_mentions
20283	"""""""@DrZweliMkize This test was done on a patient and her mother at a pharmacy and told does not have Covid-19 and """"""""all is fine"""""""".  She had acute illness symptoms of a few days suggestive of Covid-19: sore throat, fever, body ache  and mother had loose stools and body aches. https://t.co/N8M0VGJjXV"""""""	Nonpersonal_reports
10958	""""""".""""""""And a study published July 8 in the journal Brain found that neurological complications of Covid-19 can include delirium, brain inflammation, stroke, and nerve damage"""""""""""""""	Lit-News_mentions
30251	Officially sick of #longtailcovid now. I’ve been ill since early March and just when I think I may be getting better it all flares up again, constantly. Coughing, chesty, breathless, stomach pains, extreme exhaustion. You do NOT want to get this illness #covid #coronavirusuk	Self_reports
31310	So what's the bottom line? I didn't fall asleep today after my morning walk 🙏🏽 I do feel like overall I'm improving (even though I have an array of worrying persistent symptoms) More importantly, I'm smiling 😃, I'm dreaming of what I'll do when I make a full recovery /end	Self_reports
20306	My daughter’s Covid is winding down and now all she has is a bad cough #coronavirus #COVID19	Nonpersonal_reports
21579	I want to know about foreign policy regarding #covid19 my brother is in UAE #+971553365489 &amp; he has fever &amp; breathing prblm for last 1 week he asked to dubai medical auth they give him the time for test 3may. Is it not a casual approach by them?@narendramodi @indiandiplomats	Nonpersonal_reports
23448	@PalmerReport Meanwhile, I had to watch my mom who has Type 2 Diabetes get turned away because her fever was not high enough. She was crying and terrified. The worst part of it all, is she was turned away by the people she calls friends, as she is also a Nurse... A Nurse! #COVID19 #Resist	Nonpersonal_reports
30501	"""It's challenging to provide the entire context of the last 100 days, even in a thread. I've had a remarkable few weeks, where """"exercise"""" had improved many symptoms day after day. I was sharing the relapse to ensure that people avoid catching the virus."	Self_reports
13854	"""""""Post #COVID19 some patients have """"""""lasting symptoms, including continuous shortness of breath, cough, severe fatigue, anxiety &amp; mental health issues"""""""". Many who were in ITU have lung problems months later with """"""""abnormalities on their chest X-rays; there’s scarring there"""""""""""""""	Lit-News_mentions
14509	COVID-19 patients experience neurological symptoms https://t.co/DsRMYmWfYF	Lit-News_mentions
30902	I shifted it in 4 weeks last time, but with more rest than I’m having this time (but then the fatigue is also slightly less full-on this time). Hoping, hoping it’s just the usual PVF.	Self_reports
23514	My mom is 91. She’s been having diarrhea the last couple days, ee&amp; her doctor wants her to go to the ER tonight for a saline drip &amp; some blood tests.I don’t want her anywhere near an ER. COVID19 survival rates for nonagenarians are almost nil.I’m scared.	Nonpersonal_reports
22440	The #CoronaVirus has hit close to home. My sister tested positive for #Covid today. Symptoms are mild fever &amp; bodyache.Her husband and kids are yet to be tested.	Nonpersonal_reports
11337	Dr. Anthony Fauci said Thursday that the symptoms of #Covid19 recovery resemble those seen in patients with myalgic encephalomyelitis, or ME, once known as chronic fatigue syndrome.https://t.co/i19TntCgOD  #SolveME #Covid19 https://t.co/hdSp0TovSr	Lit-News_mentions
11724	Why did it take so long to recognise the loss of smell and taste as an official symptom?  - BBC News - 'I don't know how many patients I gave coronavirus to' https://t.co/uUvcuQnYMO	Lit-News_mentions
10714	Just as likely to be COPD, emphysema, bronchitis or pneumonia.But this is example of both probable death &amp; excess death.Man Falls From Ladder And Dies After Allegedly ‘Complaining Of Headache’ And ‘Shortness Of Breath.’ Doctors Say COVID-19 Killed Him https://t.co/OvbuLrhDtw	Lit-News_mentions
23072	@EnviroSmartGOP @PaulaShimko @realDonaldTrump @BarackObama That I will argue all day about this pandemic is real. My brothers (best friend for my whole life) sisters son was a perfectly healthy 10 year old he cought COVID19. I haven't been to his grave yet, but I have plans to see him before the end of summer.	Nonpersonal_reports
20114	Some patients develop COVID toes early on, along with other symptoms such as fever or cough. Others develop the condition well after their other symptoms have passed, almost like a post-viral response. And a third seems to develop COVID toes as the sole symptom.	Nonpersonal_reports
21911	One of our groomsmen just called to tell us his Mother lost her battle with #covid19. She was healthy as an ox 72 hours ago. Started with a fever &amp; headache and within 19 hours she had to be put on a ventilator. We can't even fly to help him through this. #yeg	Nonpersonal_reports
23273	@piersmorgan Dominic Cummings broke the law ,if he'd contracted Covid19 he wouldn't be able to drive, my Sister had it,she was fatigued, there's a danger that he could've passed out while driving his car.	Nonpersonal_reports
13468	Chronic fatigue syndrome (CFS) is a complicated disorder characterized by extreme fatigue that can't be explained by any underlying medical condition. #ayurveda #healthreactive #health #healthylife #immune #immunitysystem #corona #covid19 #bodyrevival https://t.co/CrfEn7GWkt	Lit-News_mentions
30066	Day 7 COVID-19 symptoms: fever has broken. Very weak (haven't eaten since Thursday). Fever and diarrhea replaced by debilitating abdominal pain &amp; muscle spasms. I cannot make head nor tail of this virus, though the ab pain may be connected to not eating.https://t.co/G1S1rSEens	Self_reports
13685	More than half of Covid-19 patients have lasting fatigue, research suggests - NBC News https://t.co/pjwpnbpsy7	Lit-News_mentions
20262	Yesterday, I told my girlfriend that we should drink more mimosas in order to kill germs and build our immune systems. Today, she's in the hospital bc she's coughing and having trouble breathing and her PCP recommended she get tested for Coronavirus	Nonpersonal_reports
22353	Good morning !! I likely have covid-19 and can’t confirm it and now my wonderful mother has had a fever for two days and I have to live with the fact that I probably gave it to her and she is suffering more than I am 🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂	Nonpersonal_reports
21829	"""""""My mom is one of the covid19 """"""""long-haulers"""""""". She technically """"""""recovered"""""""" from covid months ago, but she still has symptoms like extreme fatigue, shortness of breath, etc. The lack of support and information from the medical community has been very frustrating for her!"""""""	Nonpersonal_reports
